Fonte,N2O
No N,315.10954
No N,202.9321409
No N,312.4952078
No N,314.4647106
Urea,2133.566924
Urea,2509.155532
Urea,1985.297289
Urea,2577.252414
UR+DCD-R,671.3133709
UR+DCD-R,465.4913474
UR+DCD-R,492.2901879
UR+DCD-R,496.5191109
UR+DMPP-R,344.8886091
UR+DMPP-R,328.0798419
UR+DMPP-R,331.606805
UR+DMPP-R,393.6427212
PSCU,2199.465499
PSCU,1685.850809
PSCU,2854.290553
PSCU,1919.789024
UR+DCD,321.3486557
UR+DCD,359.2789647
UR+DCD,366.1666807
UR+DCD,592.4262206
UR+DMPP,377.3997292
UR+DMPP,337.0578198
UR+DMPP,367.6849763
UR+DMPP,330.8834439
CaNO,320.4947802
CaNO,303.7933289
CaNO,349.3457171
CaNO,344.3066299
