Fonte,N2O,N2Olog
NoN,315.10954,2.498461552
NoN,202.9321409,2.307350837
NoN,312.4952078,2.494843362
NoN,314.4647106,2.497571916
Urea,2133.566924,3.32910627
Urea,2509.155532,3.399527582
Urea,1985.297289,3.29782555
Urea,2577.252414,3.411156955
UR+DCD-R,671.3133709,2.826925297
UR+DCD-R,465.4913474,2.667911613
UR+DCD-R,492.2901879,2.69222118
UR+DCD-R,496.5191109,2.695935969
UR+DMPP-R,344.8886091,2.537678851
UR+DMPP-R,328.0798419,2.515979547
UR+DMPP-R,331.606805,2.520623434
UR+DMPP-R,393.6427212,2.595102225
PSCU,2199.465499,3.342317154
PSCU,1685.850809,3.226819139
PSCU,2854.290553,3.45549818
PSCU,1919.789024,3.283253504
UR+DCD,321.3486557,2.506976487
UR+DCD,359.2789647,2.555431791
UR+DCD,366.1666807,2.563678823
UR+DCD,592.4262206,2.772634272
UR+DMPP,377.3997292,2.576801584
UR+DMPP,337.0578198,2.527704407
UR+DMPP,367.6849763,2.565475885
UR+DMPP,330.8834439,2.519675037
CaNO,320.4947802,2.505820961
CaNO,303.7933289,2.482578233
CaNO,349.3457171,2.543255423
CaNO,344.3066299,2.536945385

